School,Nickname,City,State/Province,Conference,Note
Tiffin University,Dragons,Tiffin,Ohio,Great Midwest Athletic Conference,
Trevecca Nazarene University,Trojans,Nashville,Tennessee,Great Midwest Athletic Conference,
Truman State University,Bulldogs,Kirksville,Missouri,Great Lakes Valley Conference,
Tusculum College,Pioneers,Greeneville,Tennessee,South Atlantic Conference,
Union University,Bulldogs,Jackson,Tennessee,Gulf South Conference,
Upper Iowa University,Peacocks,Fayette,Iowa,Mid-America Intercollegiate Athletics Association,[s]
Urbana University,Blue Knights,Urbana,Ohio,Mountain East Conference,
Walsh University,Cavaliers,North Canton,Ohio,Great Midwest Athletic Conference,
University of West Alabama,Tigers,Livingston,Alabama,Gulf South Conference,
West Chester University,Golden Rams,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,
University of West Florida,Argonauts,Pensacola,Florida,Gulf South Conference,
West Liberty University,Hilltoppers,West Liberty,West Virginia,Mountain East Conference,
West Texas A&M University,Buffaloes,Canyon,Texas,Heartland Conference,[t][f]
West Virginia Wesleyan College,Bobcats,Buckhannon,West Virginia,Mountain East Conference,
Western Washington University,Vikings,Bellingham,Washington,Great Northwest Athletic Conference,
Westminster College,Griffins,Salt Lake City,Utah,Rocky Mountain Athletic Conference,
Wheeling Jesuit University,Cardinals,Wheeling,West Virginia,Mountain East Conference,
William Jewell College,Cardinals,Liberty,Missouri,Great Lakes Valley Conference,
Wilmington University,Wildcats,New Castle,Delaware,Central Atlantic Collegiate Conference,
Wingate University,Bulldogs,Wingate,North Carolina,South Atlantic Conference,
University of Wisconsin–Parkside,Rangers,Kenosha,Wisconsin,Great Lakes Valley Conference,
Young Harris College,Mountain Lions,Young Harris,Georgia,Peach Belt Conference,
